"","Size","species"
"510","15","Menidia menidia"
"511","32.2000007629395","Mentodus rostratus"
"512","13","Mercenaria mercenaria"
"515","40.5999984741211","Merluccius albidus"
"516","76","Merluccius bilinearis"
"517","8.35","Mesodesma"
"518","550","Mesoplodon bidens"
"519","470","Mesoplodon densirostris"
"520","450","Mesoplodon europaeus"
"521","560","Mesoplodon grayi"
"522","430","Mesoplodon hectori"
"523","500","Mesoplodon mirus"
"524","5","Metridium senile"
"525","38.0999984741211","Microgadus tomcod"
"526","55.5","Micromesistius poutassou"
"527","18","Modiolus modiolus"
"528","333","Mola mola"
"529","9.48749995231628","Molpadia"
"530","155","Molva dypterygia"
"531","470","Monodon monoceros"
"532","18","Monolene sessilicauda"
"533","0.4","Monstrilla"
"534","200","Morone saxatilis"
"535","93","Morus bassanus"
"536","100","Mugil cephalus"
"537","9.276","Munida iris"
"538","9.276","Munida valida"
"539","1.795","Munidopsis curvirostra"
"540","3","Musculus"
"541","150","Mustelus canis"
"542","10","Mya arenaria"
"543","8","Mya truncata"
"545","117.6","Mycteroperca"
"546","12.7","Myctophidae"
"547","44.8333333333333","Myoxocephalus"
"548","12.9375","Mytilus"
"549","95","Myxine glutinosa"
"550","3.6","Naticidae"
"551","70","Naucrates ductor"
"552","25","Nealotus tripes"
"553","130","Nemichthys scolopaceus"
"554","30.5","Neocyttus helgae"
"555","6","Neohela monstrosa"
"556","13.7","Neolithodes grimaldii"
"557","25","Neoscopelus macrolepidotus"
"558","11.747","Neptunea"
"559","60","Nessorhamphus ingolfianus"
"560","36","Nezumia aequalis"
"561","40","Nezumia bairdii"
"562","120","Notacanthus chemnitzii"
"563","34","Notolepis rissoi"
"564","15","Novodinia americana"
"565","4","Nucella lapillus"
"566","0.81","Nucula"
"567","1.06875","Nuculana"
"573","4.29","Nymphon"
"574","17.5","Oceanites"
"575","19","Oceanites oceanicus"
"576","22","Oceanodroma leucorhoa"
"577","25.0666666666667","Octopoteuthis"
"578","380","Odobenus rosmarus"
"579","2","Oediceros saginatus"
"580","0.2","Oithona spinirostris"
"581","45","Ommastrephes"
"582","23","Omosudis lowii"
"583","2.5","Oncopagurus"
"584","10.3368420412666","Oneirodes"
"585","5.5","Ophelia"
"586","10","Ophiacantha abyssicola"
"587","10","Ophiacantha bidentata"
"588","46.7000007629395","Ophichthus cruentifer"
"589","4","Ophiomusa lymani"
"590","3.8","Ophiopholis aculeata"
"591","8","Ophioscolex glacialis"
"592","0.3","Ophiura"
"593","3","Oplophorus spinosus"
"594","980","Orcinus orca"
"595","32.8999996185303","Osmerus mordax mordax"
"596","8.7","Ovalipes ocellatus"
"598","30","Pachycerianthus borealis"
"599","46","Pagophila eburnea"
"600","190","Pagophilus groenlandicus"
"601","1.35333333333333","Pagurus"
"602","1.20000004768372","Palio dubia"
"603","40","Palmaria palmata"
"604","12","Pandalus borealis"
"605","16","Pandalus montagui"
"607","3.5","Pandora gouldiana"
"608","11","Panomya norvegica"
"609","8.5","Parablennius marmoreus"
"610","40","Paragorgia arborea"
"611","31.7333335876465","Paralepis atlantica"
"612","21","Paralepis elongata"
"613","94","Paralichthys dentatus"
"614","14.1999998092651","Paraliparis calidus"
"615","15.9861249446869","Paraliparis copei"
"616","17","Paraliparis copei copei"
"617","14.1999998092651","Paraliparis garmani"
"618","2","Paramphithoe hystrix"
"619","7.1","Parapasiphae sulcatifrons"
"620","25","Parasudis truculenta"
"621","0.8","Parathemisto"
"622","1.3","Parvicardium pinnulatum"
"623","10.5","Pasiphaea multidentata"
"624","8.055","Pasiphaea tarda"
"625","9","Pelagia noctiluca"
"626","178","Pelecanus erythrorhynchos"
"627","10","Pennatula aculeata"
"628","20","Pennatula grandis"
"629","10","Pentamera calcigera"
"630","275","Peponocephala electra"
"631","30","Peprilus triacanthus"
"632","35","Periphylla periphylla"
"633","30","Peristedion miniatum"
"634","120","Petromyzon marinus"
"635","50","Phaethon aethereus"
"636","73.0666666666667","Phalacrocorax"
"637","90","Phalacrocorax auritus"
"638","101","Phalacrocorax carbo"
"639","NaN","Phalaropus"
"644","2.56666666666667","Phascolion strombus strombus"
"646","190","Phoca vitulina"
"647","200","Phocoena phocoena"
"648","30","Pholis fasciata"
"649","25","Pholis gunnellus"
"650","16","Photostomias guernei"
"651","2.5","Phronima"
"652","42","Phycis chesteri"
"653","2400","Physeter catodon"
"654","2400","Physeter macrocephalus"
"656","16.8999996185303","Plesionika martia"
"657","2.5","Pleurobrachia pileus"
"658","2.5","Plutonaster agassizi"
"659","28","Pluvialis apricaria"
"660","28","Pluvialis dominica"
"661","28","Pluvialis squatarola"
"662","33","Podiceps auritus"
"663","33","Podiceps cristatus"
"664","33","Podiceps grisegena"
"666","130","Pollachius virens"
"667","9.5","Polyacanthonotus rissoanus"
"668","6.61333333333333","Polycheles sculptus"
"669","6","Polyipnus clarus"
"670","26","Polymetme corythaeola"
"671","20","Polymixia lowei"
"672","48","Polymixia nobilis"
"673","9","Polynoidae"
"674","130","Pomatomus saltatrix"
"675","6.8","Pontaster"
"676","5.2","Pontophilus norvegicus"
"677","10","Porania pulvillus"
"678","7","Poraniomorpha"
"679","20","Porifera"
"680","14.8000001907349","Poromitra crassiceps"
"683","4.5","Potamilla neglecta"
"684","25","Primnoa resedaeformis"
"685","400","Prionace glauca"
"686","38","Prionotus carolinus"
"687","20","Pseudarchaster parelii"
"688","64","Pseudopleuronectes americanus"
"689","600","Pseudorca crassidens"
"690","14.328125","Pseudoscopelus"
"691","10","Psilaster andromeda"
"692","7.19999998807907","Psolus fabricii"
"693","7.19999998807907","Psolus phantapus"
"694","15","Pteraster militaris"
"695","19.5","Pteraster obscurus"
"696","19.5","Pteraster pulvillus"
"697","39","Pterodroma arminjoniana"
"698","3.8","Pterygioteuthis"
"699","9","Ptychogena lactea"
"700","53","Puffinus gravis"
"701","46","Puffinus griseus"
"702","38","Puffinus puffinus"
"703","165","Pusa hispida"
"704","1.09","Pycnogonum litorale"
"705","11","Radicipes gracilis"
"706","68.7999999306419","Raja bathyphila"
"707","68.7999999306419","Raja eglanteria"
"708","68.7999999306419","Raja garmani"
"709","60","Rajella fyllae"
"714","110","Reinhardtius hippoglossoides"
"715","50","Remora brachyptera"
"716","86.4000015258789","Remora remora"
"717","4","Reteporella grimaldii"
"718","4","Rhachotropis aculeata"
"719","140","Rhinochimaera atlantica"
"720","32","Rhodostethia rosea"
"722","11","Rondeletia loricata"
"723","7.0125","Rossia"
"724","48","Rouleina attrita"
"725","32","Rouleina maderensis"
"726","45","Rynchops niger"
"727","8","Sabinea sarsii"
"728","9","Sabinea septemcarinata"
"729","50","Saccorhiza dermatodea"
"730","150","Salmo salar"
"731","25","Saurida brasiliensis"
"732","3.6","Scaphander punctostriatus"
"733","10","Sclerasterias tanneri"
"734","6","Sclerocrangon boreas"
"737","60","Scomber scombrus"
"738","37.6666666666667","Scomberesox saurus saurus"
"739","12.6000003814697","Scopelarchus analis"
"740","7.30000019073486","Scopeloberyx robustus"
"741","10.1999998092651","Scopelogadus beanii"
"742","36.4000015258789","Scopelosaurus lepidus"
"743","45.7000007629395","Scophthalmus aquosus"
"744","48","Scyliorhinus retifer"
"745","46.9774000358582","Sebastes"
"746","10","Securiflustra securifrons"
"747","70","Selar crumenophthalmus"
"748","4.5","Sepioloidea"
"749","7","Sergia robusta"
"750","190","Seriola dumerili"
"751","11","Serripes groenlandicus"
"752","78","Serrivomer beanii"
"753","5","Sertularia polyzonias"
"754","31.3999996185303","Setarches guentheri"
"755","13","Siliqua"
"756","61","Simenchelys parasitica"
"757","2.5","Similipecten greenlandicus"
"758","40","Solaster endeca"
"759","6.7","Solemya borealis"
"760","NaN","Somateria"
"763","427","Somniosus microcephalus"
"764","36","Sphoeroides maculatus"
"765","10","Spinolambrus pourtalesii"
"766","5.8","Spirontocaris fabricii"
"767","5.8","Spirontocaris liljeborgii"
"768","5.8","Spirontocaris phippsii"
"769","6","Spirontocaris spinus"
"770","20","Spisula solidissima"
"771","160","Squalus acanthias"
"772","250","Staurostoma mertensii"
"773","11.4","Stauroteuthis syrtensis"
"774","3.5","Stegocephalus inflatus"
"775","260","Stenella attenuata"
"776","200","Stenella clymene"
"777","260","Stenella coeruleoalba"
"778","230","Stenella frontalis"
"779","240","Stenella longirostris"
"780","280","Steno bredanensis"
"781","46","Stenotomus chrysops"
"782","3","Stephanasterias albula"
"783","5","Stephanauge"
"784","26.1","Stephanolepis hispidus"
"785","58","Stercorarius longicaudus"
"786","67","Stercorarius parasiticus"
"787","78","Stercorarius pomarinus"
"788","1.10000002384186","Stereoderma unisemita"
"789","3.1875","Stereomastis sculpta"
"790","38.75","Sterna antillarum"
"791","38.75","Sterna caspia"
"792","43","Sterna dougallii"
"793","41","Sterna forsteri"
"794","38.75","Sterna fuscata"
"795","38","Sterna hirundo"
"796","38.75","Sterna nilotica"
"797","38","Sterna paradisaea"
"799","5.5","Sternoptyx diaphana"
"800","22","Stichaeus punctatus"
"801","37.9640000343323","Stichaeus punctatus punctatus"
"802","28.6200000762939","Stomias boa ferox"
"803","12.5","Stomphia coccinea"
"804","9.25","Strongylocentrotus"
"805","7","Stylocordyla borealis"
"806","12","Symbolophorus veranyi"
"807","22","Symphurus diomedeanus"
"808","29","Synagrops bella"
"809","100","Synaphobranchus kaupii"
"810","33","Syngnathus fuscus"
"811","3","Syscenus infelix"
"812","2.5","Tachyrhynchus erosus"
"813","38","Tautogolabrus adspersus"
"814","10","Tealia felina"
"815","6.37857142857143","Tellina"
"816","5","Terebratulina septentrionalis"
"817","50","Teredo navalis"
"818","40","Teuthowenia megalops"
"819","256","Thalassarche chlororhynchos"
"820","15","Thuiaria thuja"
"821","140","Thunnus alalunga"
"822","250","Thunnus obesus"
"823","458","Thunnus thynnus"
"824","8","Thyonella pervicax"
"825","2.27833333333333","Thysanoessa longicaudata"
"826","2.5","Thysanoessa raschii"
"827","3.17249995470047","Tonicella"
"828","56.4400000572205","Torpedo nobiliana"
"829","37","Trachyrincus murrayi"
"830","15","Tremaster mirabilis"
"831","390","Trichechus manatus"
"832","21.4666666984558","Triglops"
"833","32","Trigonolampa miriceps"
"840","2","Tritia"
"842","380","Tursiops truncatus"
"843","40","Ulva"
"844","18","Ulvaria subbifurcata"
"845","25","Urasterias lincki"
"846","45.5","Uria"
"847","43","Uria aalge"
"848","48","Uria lomvia"
"849","61.9000000953674","Urophycis chesteri"
"850","66","Urophycis chuss"
"851","41","Urophycis regia"
"852","133","Urophycis tenuis"
"853","250","Ursus maritimus"
"854","17.9166666666667","Urticina felina"
"856","10","Vazella pourtalesi"
"857","4","Velutinidae"
"858","108.800003051758","Venefica procera"
"859","1","Venericardia borealis"
"860","5.5","Venus mercenaria"
"861","5.32000017166138","Vinciguerria nimbaria"
"862","25","Vomer setapinnis"
"863","4","Wimvadocus torelli"
"865","31","Xenodermichthys copei"
"866","15","Xenolepidichthys dalgleishi"
"867","455","Xiphias gladius"
"868","1.2","Xylophaga atlantica"
"869","2.55","Yoldia"
"870","63.6699994405111","Zenopsis ocellata"
"871","750","Ziphius cavirostris"
"872","110","Zoarces americanus"
"873","300","Zostera marina"
"120","42","Accipiter cooperii"
"210","53","Accipiter gentilis"
"310","28","Accipiter striatus"
"442","22","Agelaius phoeniceus"
"5","30","Alcidae"
"6","47","Aix sponsa"
"7","13","Ammodramus caudacutus"
"834","15","Ammodramus maritimus"
"910","71","Anser albifrons"
"1010","76","Aquila chrysaetos"
"1110","24","Arenaria interpres"
"1210","42","Aythya affinis"
"1310","48","Aythya americana"
"143","43","Aythya collaris"
"15","43","Aythya fuligula"
"161","46","Aythya marila"
"17","53","Aythya valisineria"
"1810","30","Bartramia longicauda"
"191","71","Botaurus lentiginosus"
"20","64","Branta bernicla"
"211","89","Branta canadensis"
"221","69","Branta leucopsis"
"232","51","Bubulcus ibis"
"242","46","Bucephala islandica"
"256","48","Buteo jamaicensis"
"2610","53","Buteo lagopus"
"2710","43","Buteo lineatus"
"281","38","Buteo platypterus"
"2910","46","Butorides virescens"
"301","53","Catharacta maccormicki"
"311","58","Catharacta skua"
"321","66","Cathartes aura"
"331","38","Catoptrophorus semipalmatus"
"3410","33","Ceryle alcyon"
"3510","18","Charadrius melodus"
"368","18","Charadrius semipalmatus"
"37","27","Charadrius vociferus"
"38","71","Chen caerulescens"
"3910","58","Chen rossii"
"4010","46","Circus cyaneus"
"4110","64","Coragyps atratus"
"4210","44","Corvus brachyrhynchos"
"4310","61","Corvus corax"
"443","18","Coturnicops noveboracensis"
"4510","132","Cygnus columbianus"
"464","152","Cygnus cygnus"
"4710","152","Cygnus olor"
"4810","61","Egretta caerulea"
"498","64","Egretta garzetta"
"505","61","Egretta thula"
"513","66","Egretta tricolor"
"5210","64","Eudocimus albus"
"5310","25","Falco columbarius"
"544","41","Falco peregrinus"
"5510","56","Falco rusticolus"
"568","23","Falco sparverius"
"571","39","Fulica americana"
"5810","27","Gallinago gallinago"
"597","36","Gallinula chloropus"
"606","81","Gavia immer"
"6110","64","Gavia stellata"
"62","64","Gaviidae"
"6310","44","Haematopus palliatus"
"641","36","Himantopus mexicanus"
"655","46","Hydrobatidae"
"665","33","Ixobrychus exilis"
"6710","28","Limnodromus griseus"
"681","29","Limnodromus scolopaceus"
"6910","46","Limosa fedoa"
"7010","39","Limosa haemastica"
"711","41","Limosa lapponica"
"72","42","Limosa limosa"
"735","86","Lontra canadensis"
"7410","46","Lophodytes cucullatus"
"7510","33","Megaceryle alcyon"
"761","48","Melanitta nigra"
"7710","64","Mergus merganser"
"7810","58","Mergus serrator"
"79","102","Mycteria americana"
"8010","56","Numenius arquata"
"8110","36","Numenius borealis"
"8210","44","Numenius phaeopus"
"835","61","Nyctanassa violacea"
"841","64","Nycticorax nycticorax"
"855","38","Oxyura jamaicensis"
"864","58","Pandion haliaetus"
"874","22","Phalaropus fulicaria"
"881","22","Phalaropus fulicarius"
"891","20","Phalaropus lobatus"
"901","23","Phalaropus tricolor"
"911","28","Philomachus pugnax"
"921","58","Plegadis falcinellus"
"931","33","Podilymbus podiceps"
"941","33","Porphyrula martinica"
"951","22","Porzana carolina"
"961","38","Rallus elegans"
"971","24","Rallus limicola"
"981","37","Rallus longirostris"
"991","46","Recurvirostra americana"
"1001","43","Rissa tridactyla"
"1011","28","Scolopax minor"
"1021","35","Scolopax rusticola"
"1031","61","Somateria mollissima"
"104","56","Somateria spectabilis"
"105","30","Sternidae"
"106","32","Tringa erythropus"
"107","27","Tringa flavipes"
"108","36","Tringa melanoleuca"
"109","33","Tringa nebularia"
"1101","22","Tringa solitaria"
"1111","26","Tringa totanus"
"1121","21","Tryngites subruficollis"
"1131","32","Vanellus vanellus"
"1141","34","Xema sabini"
